region,month,count
NA,2021-04,4
NA,2021-05,1
NA,2021-08,6
NA,2021-09,1
NA,2021-10,3
NA,2021-11,1
NA,2022-02,1
NA,2022-03,1
NA,2022-04,3
NA,2022-05,2
NA,2022-06,1
NA,2022-07,1
NA,2022-08,1
NA,2022-09,1
NA,2022-10,1
NA,2022-11,1
NA,2022-12,1
NA,2023-01,1
NA,2023-02,1
NA,2023-04,2
NA,2023-06,1
NA,2023-07,1
NA,2023-08,3
NA,2023-10,1
NA,2023-11,1
NA,2023-12,1
NA,2024-01,1
